Date,Open,High,Low,Close,Adj Close,Volume
2018-09-04,503.5,508.5,494.75,508.0,508.0,202
2018-09-05,507.0,511.75,501.75,501.75,501.75,40
2018-09-06,497.25,500.5,490.5,490.5,490.5,10
2018-09-07,489.5,489.5,488.5,488.5,488.5,3
2018-09-10,495.0,503.75,495.0,503.75,503.75,34
2018-09-11,496.25,496.25,494.25,494.25,494.25,7
2018-09-12,496.0,496.0,475.5,482.5,482.5,14
2018-09-13,477.5,477.5,477.5,477.5,477.5,0
2018-09-14,479.0,479.0,479.0,479.0,479.0,24178
2018-09-17,517.5,522.75,511.25,512.75,512.75,19133
2018-09-18,511.75,521.0,510.75,516.0,516.0,18743
2018-09-19,516.75,527.5,516.0,526.25,526.25,24961
2018-09-20,526.25,529.75,519.0,527.0,527.0,18213
2018-09-21,525.0,528.25,519.5,525.25,525.25,17096
2018-09-24,525.25,534.25,523.5,529.0,529.0,17164
2018-09-25,528.25,530.0,518.5,522.0,522.0,21596
2018-09-26,522.25,530.0,520.25,521.0,521.0,14950
2018-09-27,519.5,526.5,515.75,517.25,517.25,15360
2018-09-28,516.5,524.25,510.0,511.25,511.25,31261
2018-10-01,513.25,517.75,506.5,511.5,511.5,24120
2018-10-02,512.5,526.75,507.5,522.5,522.5,35306
2018-10-03,524.25,530.75,517.75,518.75,518.75,21045
2018-10-04,518.75,525.5,518.0,522.25,522.25,18563
2018-10-05,522.0,528.5,520.25,524.25,524.25,19517
2018-10-08,526.5,528.75,516.0,517.5,517.5,19152
2018-10-09,517.5,524.5,515.5,519.5,519.5,20844
2018-10-10,521.0,522.25,515.25,516.25,516.25,12788
2018-10-11,516.25,527.0,510.5,513.75,513.75,27993
2018-10-12,513.75,525.0,512.5,524.25,524.25,20220
2018-10-15,524.5,532.5,521.75,531.75,531.75,22186
2018-10-16,532.25,533.25,526.5,528.0,528.0,16981
2018-10-17,528.25,528.25,519.75,521.0,521.0,12199
2018-10-18,519.25,522.75,514.25,514.75,514.75,16341
2018-10-19,515.0,519.75,512.25,516.25,516.25,12532
2018-10-22,515.0,515.75,506.25,507.75,507.75,27385
2018-10-23,508.5,510.0,502.5,507.5,507.5,23488
2018-10-24,507.75,509.5,495.5,497.0,497.0,23388
2018-10-25,497.0,497.5,485.25,486.5,486.5,30639
2018-10-26,486.5,503.25,486.5,500.25,500.25,35760
2018-10-29,504.75,510.25,497.0,501.5,501.5,20758
2018-10-30,498.5,501.25,491.5,494.75,494.75,23653
2018-10-31,494.25,495.0,484.5,493.25,493.25,35319
2018-11-01,493.0,504.0,492.75,501.25,501.25,30482
2018-11-02,501.5,505.75,497.75,504.25,504.25,24774
2018-11-05,504.25,507.5,500.0,504.75,504.75,20853
2018-11-06,504.75,510.75,503.25,508.0,508.0,21250
2018-11-07,507.75,509.25,501.0,502.25,502.25,30096
2018-11-08,500.0,506.25,492.25,497.25,497.25,45107
2018-11-09,496.5,496.75,487.0,487.5,487.5,38549
2018-11-12,487.5,496.25,486.0,493.5,493.5,36215
2018-11-13,492.75,495.25,483.25,486.5,486.5,25710
2018-11-14,487.25,491.25,480.25,481.0,481.0,26179
2018-11-15,480.75,485.25,478.75,480.0,480.0,29568
2018-11-16,479.0,484.5,479.0,482.75,482.75,13579
2018-11-19,483.0,484.0,470.0,474.25,474.25,24453
2018-11-20,473.0,476.25,469.75,473.0,473.0,19777
2018-11-21,473.25,475.25,468.0,469.0,469.0,15220
2018-11-26,465.25,466.5,459.75,464.5,464.5,29033
2018-11-27,464.75,469.0,456.75,458.5,458.5,22882
2018-11-28,459.25,469.0,458.0,467.0,467.0,27186
2018-11-29,466.75,472.5,465.0,466.0,466.0,17516
2018-11-30,466.5,488.0,466.5,486.5,486.5,3638
2018-12-03,492.0,495.0,478.75,484.0,484.0,386
2018-12-04,484.75,486.0,483.75,483.75,483.75,89
2018-12-06,468.75,468.75,468.75,468.75,468.75,0
2018-12-07,484.5,484.5,484.5,484.5,484.5,5
2018-12-10,486.25,486.25,482.75,482.75,482.75,6
2018-12-11,492.25,492.25,477.25,477.25,477.25,19
2018-12-12,483.75,483.75,483.75,483.75,483.75,4
2018-12-13,504.0,504.0,492.5,492.5,492.5,1
2018-12-14,492.5,492.5,492.5,492.5,492.5,20364
2018-12-17,518.0,524.25,517.0,522.0,522.0,15664
2018-12-18,520.25,522.5,515.75,517.25,517.25,19466
2018-12-19,517.75,517.75,508.0,508.5,508.5,17509
2018-12-20,511.0,514.25,507.0,509.5,509.5,20809
2018-12-21,509.5,510.0,499.25,502.75,502.75,26944
2018-12-26,503.25,508.25,494.5,495.5,495.5,12351
2018-12-27,497.25,498.75,491.25,495.0,495.0,12748
2018-12-28,494.25,497.75,493.0,496.0,496.0,12378
2018-12-31,496.0,497.0,487.25,488.75,488.75,15027
2019-01-02,490.0,497.25,487.75,492.5,492.5,22636
2019-01-03,492.25,504.5,492.25,503.5,503.5,19855
2019-01-04,504.0,508.75,503.5,506.0,506.0,16023
2019-01-07,506.25,507.25,500.5,503.0,503.0,16884
2019-01-08,501.0,510.25,499.0,505.0,505.0,22437
2019-01-09,506.25,511.0,504.75,505.5,505.5,19743
2019-01-10,504.75,505.5,496.25,498.75,498.75,22714
2019-01-11,497.5,508.75,497.5,504.5,504.5,27505
2019-01-14,504.5,509.25,498.75,499.0,499.0,18097
2019-01-15,499.0,502.75,492.25,495.5,495.5,27064
2019-01-16,495.5,500.75,494.25,495.5,495.5,22024
2019-01-17,494.75,508.25,493.25,504.0,504.0,39694
2019-01-18,505.75,509.0,503.25,506.0,506.0,27171
2019-01-22,506.0,514.0,502.75,509.75,509.75,37643
2019-01-23,510.25,515.5,510.25,515.0,515.0,17825
2019-01-24,515.0,518.0,510.5,511.5,511.5,25695
2019-01-25,510.0,513.25,506.25,509.5,509.5,23792
2019-01-28,510.0,513.25,504.5,506.75,506.75,19351
2019-01-29,506.75,509.25,498.25,500.25,500.25,35174
2019-01-30,500.0,505.75,498.0,502.25,502.25,19088
2019-01-31,502.0,504.0,497.0,499.0,499.0,25174
2019-02-01,500.0,510.75,498.5,508.75,508.75,37841
2019-02-04,510.0,513.0,505.75,510.5,510.5,27461
2019-02-05,509.25,512.0,506.0,511.25,511.25,33374
2019-02-06,510.0,513.5,507.25,509.25,509.25,35495
